title,interviewee,interviewer,date,datenice,dates,affiliation (role),affiliation (department),description,biography,subject (lcsh),subjects (lctgm),subject,location,object type,notes,language,language code,digital collection,digital id number,ordering information,citation information,repository,repository collection,rights uri,restrictions,type,staff notes,cataloging,extent,format,original format,file name,digital reproduction information,oclc number,date created,date modified,reference url,compound,cdmid,contentdm file name,contentdm file path,objectid
"Michael Sullivan, transcript",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201701-Transcript,,,,,,,Text,,,13 pages,application/pdf,text/docs,,,,7/24/2018,7/24/2018,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/10,,10,11.pdf,/p16786coll18/image/11.pdf,foundingstories10
Michael Sullivan interview,"Sullivan, Michael","Wadland, Justin",9/21/2017,21-Sep-17,2017,Community member,City of Tacoma; Historic Preservation Office; Artifacts Consulting,"In the interview, Sullivan describes the building of the University of Washington Tacoma campus, addressing themes of architecture, historic preservation, urban design, and warehouse district revitalization. He recalls working in the capacity of the city's historic preservation officer to review the campus location and facilitate its construction. In addition, together with fellow architect Valerie Sivinski at their firm Artifacts, he advised on building renovations as a conservator.     The bulk of the interview includes a discussion on how UW Tacoma came to be placed in its downtown location. Sullivan details the involvement of esteemed architect Charles Moore and his myriad thoughtful, intellectually grounded design ideas: elevated sidewalks converted from loading docks, pavement patterns reminiscent of railroad tracks, parchment-colored concrete floor that references the place's industrial origin and new academic purpose. Sullivan further elaborates on the decision to respect the historic Prairie Line, the terminus of the Northern Transcontinental Railroad, and the significance to treat it as a central organizing point to the layout of the campus.     Sullivan then comments on the transformation of downtown since the late 1980s, with its new purpose in education and culture. He muses on Dale Chihuly's rise as a prominent artist. The interview concludes with Sullivan's remarks on how the political force formed by Booth Garner, Brian Ebersole, and Lorraine Wojahn aided the growth of UW Tacoma; he praises the university's contribution to economic justice and suggests its future role in equity issues within the city.","Born in Seattle, Washington, in 1950, Michael Sullivan moved around with his family from Spokane to Oregon and Texas. He studied theater at UCLA in the 1960s and later obtained his master's and doctorate degrees in history from Western Washington University and University of Washington. Upon completion of his PhD program, he worked as the historic preservation officer for City of Tacoma and soon after came to head the newly established Cultural Resources Division from 1990 until 1995. In this period, Tacoma's Warehouse District underwent renovation to transform into the University of Washington Tacoma campus, paralleling a &quot;cultural renaissance&quot; in the city that saw the renewal of downtown historic buildings, such as the Pantages Theater and Union Station. Sullivan played a key role in these restoration projects.     In 1997, after he left City of Tacoma, he co-founded Artifacts Consulting, Inc., an architectural conservation firm. He is now the the principal and historian of Artifacts Consulting. And he also serves as a Washington State advisor to the National Trust for Historic Preservation and chairs its Public Policy Committee.    He has taught a course on the history of Tacoma and the Pacific Northwest at the University of Washington Tacoma for 20 years, from 1994 until 2015. He helped to develop the Tacoma Community History Project, a digital archival collection housed at the UWT Library.","Sullivan, Michael, 1950-Interviews; Historic preservation--Washington (State)--Tacoma; University of Washington Tacoma--History",,Charles Moore; Dale Chihuly; Artifacts; Prairie Line; Northern Transcontinental Railroad; Union Station; Historic Preservation Office; Warehouse District; Urban Waters,United States--Washington (State)--Tacoma,Oral histories,The oral history interview with Michael Sullivan was part of the &quot;Founding Stories&quot; phase of the UW Tacoma Oral History Project.,English,eng,University of Washington Tacoma Oral History: Founding Stories,UWTOH201701,"To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH201701",University of Washington Tacoma Library,University of Washington Tacoma Oral History: Founding Stories,http://rightsstatements.org/vocab/InC-EDU/1.0/,"Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu",Sound; Text; StillImage,update URL for Restrictions,,,cpd,,,,1142817967,7/24/2018,3/3/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/11,8;9;10,11,12.cpd,/p16786coll18/image/12.cpd,foundingstories11
"Michael Honey, photograph",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201702-Image,,,,,,,StillImage,,,,image/jpg,image/jpg,,,,7/24/2018,7/24/2018,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/12,,12,13.jp2,/p16786coll18/image/13.jp2,foundingstories12
"Michael Honey, audio",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201702-Audio,,,,,,,Sound,,,1:34:13,audio/mp3,audio/wav,,Converted from digital 24bit/96kHz wav fiiles to 16bit/24kHz mp3 fiiles in 2018.,,7/24/2018,7/24/2018,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/13,,13,14.mp3,/p16786coll18/image/14.mp3,foundingstories13
"Michael Honey, transcript",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201702-Transcript,,,,,,,Text,,,23 pages,application/pdf,text/docs,,,,7/24/2018,7/24/2018,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/14,,14,15.pdf,/p16786coll18/image/15.pdf,foundingstories14
Michael Honey interview,"Honey, Michael K.","Williams, Charles Thomas",10/4/2017,4-Oct-17,2017,Faculty,Liberal Studies; School of Interdisciplinary Arts and Science,"In the interview, Honey recounts his student life and early career. He begins with early influences from his own &quot;union family&quot; and postwar Michigan, where workers were well-represented by strong unions, such as the United Automobile Workers. He describes his college experience at Oakland University, where he met his mentor and professor, Henry Rosemont, who opened his eyes to the situation of the Vietnam War and led him to register as a conscientious objector. He recalls the 1967 Detroit riot and speaks of Martin Luther King as a recurring theme in his life and career.      Honey then discusses the period after college, when he went to the South and became actively involved in the civil rights movement--working on cases of Angela Davis and others. He talks about how these experiences fueled his desire to attend graduate school at Howard University and Northern Illinois in order to study and write about African-American history, labor, and civil rights in the South.     In the second half of the interview, Honey discusses how he arrived at University of Washington Tacoma. He recalls his efforts building relationships with the community and prominent Tacoma figures like Tom Dixon, a civil rights leader and founding director of the Tacoma Urban League. He notes the success of programs at such locations as the Washington History Museum and the Allen AME Church. As a founding faculty member, he helped to shape the first courses offered at UW Tacoma, and he incorporated music into his history courses, drawing connections to Pete Seeger, the Highlander Folk School, and others. On the importance of community relationship, he highlights decisions over the years to hire faculty who were invested in the population surrounding the UW Tacoma campus. As the session nears its end, he remarks on the challenges of having to build an institution while teaching and conducting scholarship simultaneously and laments over the waning legislative support for higher education.","Michael Honey was born in 1947 in Lansing, Michigan. He grew up in Williamston, Pontiac, and Grand Rapids in Michigan, and Toledo, Ohio. His father was a World War II veteran and urban planner-turned professor who was born into an English farming family in Michigan. His mother came from a French-Canadian working-class family in Detroit. This background had a profound influence on Dr. Honey's views, his affinity for union workers, and his later academic interests. Honey attended Oakland University, then an experimental, humanities-centered college in southeast Michigan, from 1965 to 1969. Amid the escalation of the Vietnam War, he received approval for his conscientious objector status when he graduated.      After college, he went to Kentucky and subsequently spent six years in Memphis to serve as the Southern Director of the National Committee Against Repressive Legislation. He completed his graduate degrees at Howard University in Washington, D.C., and at Northern Illinois University, where he focused his research on labor history and developed his first book, Southern Labor and Black Civil Rights. He has since authored several other books, including Going Down Jericho Road: The Memphis Strike, Martin Luther King's Last Campaign.     He came to University of Washington Tacoma in 1990 as a founding faculty member. Currently holding the Fred and Dorothy Haley endowed professorship of Humanities, he teaches African-American and labor history. During his time at UW Tacoma, he has also served as the Harry Bridges Endowed Chair of Labor Studies.","Honey, Michael K.--Interviews; National Comittee against Repressive Legislation (U.S.); Labor movement--United States; Civil rights--United States; University of Washington Tacoma--History",,Martin Luther King Jr.; League of Revolutionary Black Workers; March of Washington; civil rights; Vietnam War; conscientious objectors; labor; National Committee Against Repressive Legislation; Southern Conference Educational Fund; Herbert Aptheker; William Kunstler; Carl Braden; Highlander Folk School; Pete Seeger; Harry Bridges; ILWU Local 23; Evergreen State College; diversity,United States--Washington (State)--Tacoma; United States--Kentucky--Louisville; United States--Michigan--Detroit; United States--Tennessee--Memphis; United States--Michigan--Lansing,Oral histories,The oral history interview with Michael Honey was part of the &quot;Founding Stories&quot; phase of the UW Tacoma Oral History Project.,English,eng,University of Washington Tacoma Oral History: Founding Stories,UWTOH201702,"To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH201702",University of Washington Tacoma Library,University of Washington Tacoma Oral History: Founding Stories,http://rightsstatements.org/vocab/InC-EDU/1.0/,"Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu",Sound; Text; StillImage,update URL for Restrictions,,,cpd,,,,1142817395,7/24/2018,3/3/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/15,12;13;14,15,16.cpd,/p16786coll18/image/16.cpd,foundingstories15
"Samuel Parker, photograph",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201801-Image,,,,,,,StillImage,,,,image/jpg,image/jpg,,,,7/24/2018,7/24/2018,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/16,,16,17.jp2,/p16786coll18/image/17.jp2,foundingstories16
"Samuel Parker, audio",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201801-Audio,,,,,,,Sound,,,1:32:15,audio/mp3,audio/wav,,Converted from digital 24bit/96kHz wav fiiles to 16bit/24kHz mp3 fiiles in 2018.,,7/24/2018,7/24/2018,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/17,,17,18.mp3,/p16786coll18/image/18.mp3,foundingstories17
"Samuel Parker, transcript",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201801-Transcript,,,,,,,Text,,,23 pages,application/pdf,text/docs,,,,7/24/2018,7/24/2018,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/18,,18,19.pdf,/p16786coll18/image/19.pdf,foundingstories18
Samuel Parker interview,"Parker, Samuel K.","Williams, Charles Thomas",1/31/2018,31-Jan-18,2018,Faculty,Liberal Studies; School of Interdisciplinary Arts and Science,"In this interview, Samuel Parker reminisces about the early days of University of Washington Tacoma and explains the decisions that eventually led to a more departmentalized approach to academic programs. He notes an increased preoccupation with accountability and management structures on the institution's part.     The interview begins with Parker pointing out reasons that attracted him to UW Tacoma, including the unique interdisciplinary curriculum and the rare opportunity to build an institution from scratch. He describes the dynamic among the initial 13 faculty and their legacy of resistance against the compartmentalization of the University, especially following the creation of a psychology concentration under the first chancellor, Vicky Carwein. He also recalls characteristics of the students who were first to enroll at UW Tacoma and praised their industry and eagerness to learn. The session then turns to the University's relationship with the local community, and Parker mentions joining the Pierce County Arts Commission. He relates this to the revitalization of Downtown Tacoma through the arts. He discusses the work of Charles Moore, remarking that Moore had designed an Indian style garden--charbagh--for the UWT campus based on his previous work on Mughal gardens and Indian gardens.     The last part of the interview concentrates on the development of today's Master of Arts in Interdisciplinary Studies, in which Parker played an instrumental role. He recalls the process that began in 1990 with the idea for a master's in liberal studies, which developed into a possible inter-program (IP) master's and eventually materialized as the MAIS in 2001. Parker concludes by citing the program to represent what he would like to see in the future of UWT--something unique and interdisciplinary.","Samuel Parker is a founding faculty member at the University of Washington Tacoma. He teaches cultural studies, with a focus on Asia and the Pacific, in the School of Interdisciplinary Arts and Sciences (formerly Liberal Studies). In April 1990, he was among the 13 founding faculty who planned the University's initial curriculum over a three-day conference. Over the years, he has been dedicated in leading the charge to establish an interdisciplinary master of arts program, which finally materialized as Master of Arts in Interdisciplinary Studies in 2001.      Before joining UW Tacoma, he was a visiting lecturer in anthropology at Southern Illinois University in Carbondale, Illinois. He received his PhD in anthropology from University of Chicago in 1989. He completed his bachelor's and two master's degrees at University of Hawaii and taught art history there over several summers. His fieldwork has taken him to Bali and India, where he studied the visual culture of the Hindu temple and its contemporary construction and use, particularly in contexts such as cultural tourism.","Parker, Samuel K.--Interviews; Pierce County Arts Commission; Interdisciplinary approach in education; Curriculum planning; University of Washington Tacoma--Hisotry",,Pierce County Arts Commission; Charles Moore; charbagh; Mughal gardens; Vicky Carwein; nontraditional students; MAIS; Global Honors; interdisciplinary education,United States--Washington (State)--Tacoma; United States--Washington (State)--Seattle,Oral histories,The oral history interview with Samuel Parker was part of the &quot;Founding Stories&quot; phase of the UW Tacoma Oral History Project.,English,eng,University of Washington Tacoma Oral History: Founding Stories,UWTOH201801,"To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH201801",University of Washington Tacoma Library,University of Washington Tacoma Oral History: Founding Stories,http://rightsstatements.org/vocab/InC-EDU/1.0/,"Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu",Sound; Text; StillImage,update URL for Restrictions,,,cpd,,,,1142818218,7/24/2018,3/3/2020,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/19,16;17;18,19,20.cpd,/p16786coll18/image/20.cpd,foundingstories19
"Michael Allen, photograph",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201802-Image,,,,,,,StillImage,,,,image/jpg,image/jpg,,,,7/24/2018,7/24/2018,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/20,,20,21.jp2,/p16786coll18/image/21.jp2,foundingstories20
"Michael Allen, audio",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201802-Audio,,,,,,,Sound,,,0:52:44,audio/mp3,audio/wav,,Converted from digital 24bit/96kHz wav fiiles to 16bit/24kHz mp3 fiiles in 2018.,,7/24/2018,7/24/2018,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/21,,21,22.mp3,/p16786coll18/image/22.mp3,foundingstories21
"Michael Allen, transcript",,,,,,,,,,,,,,Oral histories,,,,University of Washington Tacoma Oral History: Founding Stories,UWTOH201802-Transcript,,,,,,,Text,,,15 pages,application/pdf,text/docs,,,,7/24/2018,7/24/2018,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/22,,22,23.pdf,/p16786coll18/image/23.pdf,foundingstories22
